CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R120,CANAL ST,17:00:00,2655644.104477612,11689398.328358209,98.43283582089552,423.089552238806,521.5223880597015
A066,CANAL ST,17:00:00,1492806083.477612,2723836420.626866,1794.0746268656717,611.2686567164179,2405.3432835820895
A043,CANAL ST,17:00:00,769160028.5671642,927137896.1641791,3812.2537313432836,2095.4477611940297,5907.701492537313
A046,CANAL ST,17:26:15,2172776344.0,663912962.0,3160.0,1221.0,4381.0
A043,CANAL ST,17:47:55,767179608.0,925433114.0,1842.0,818.0,2660.0
N090,CANAL ST,19:00:00,14876380.266666668,22417973.533333335,423.06666666666666,271.6,694.6666666666666
N089,CANAL ST,19:00:00,939450035.3333334,574969541.6666666,1152.6,596.4,1749.0
A046,CANAL ST,20:00:00,2173825837.133333,666421607.3333334,2441.9333333333334,955.0,3396.9333333333334
A043,CANAL ST,20:00:00,768470245.7333333,926503043.4666667,1505.5333333333333,628.0,2133.5333333333333
N090,CANAL ST,20:00:00,15107482.492537314,22645986.62686567,381.8955223880597,225.8955223880597,607.7910447761194
N089,CANAL ST,20:00:00,939945253.5074627,575377458.4776119,1034.9701492537313,527.8955223880597,1562.865671641791
R120,CANAL ST,20:00:00,2601313.7333333334,11490768.666666666,51.333333333333336,174.86666666666667,226.2
A066,CANAL ST,20:00:00,1391207613.6666667,2535753650.866667,916.8666666666667,375.6666666666667,1292.5333333333333
R119,CANAL ST,20:00:00,16775097.466666667,5787600.333333333,182.13333333333333,44.93333333333333,227.06666666666666
R119,CANAL ST,21:00:00,17015766.76119403,5861518.194029851,231.49253731343285,47.701492537313435,279.1940298507463
A046,CANAL ST,21:00:00,2174296137.0895524,665803940.9701493,1964.3283582089553,795.2686567164179,2759.597014925373
A043,CANAL ST,21:00:00,769163840.8208956,927139991.6119403,1167.0746268656717,493.5223880597015,1660.597014925373
A066,CANAL ST,21:00:00,1492807877.5522387,2723837031.8955226,642.223880597015,274.6865671641791,916.9104477611941
R120,CANAL ST,21:00:00,2655742.537313433,11689821.417910447,41.73134328358209,159.43283582089552,201.16417910447763
N090,CANAL ST,23:00:00,14876803.333333334,22418245.133333333,173.8,60.666666666666664,234.46666666666667
N089,CANAL ST,23:00:00,939451187.9333333,574970138.0666667,388.3333333333333,159.93333333333334,548.2666666666667
