CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A043,CANAL ST,10:07:08,767020755.0,924867141.0,493.0,1089.0,1582.0
N089,CANAL ST,10:10:46,940385543.0,575687298.0,556.0,1143.0,1699.0
A043,CANAL ST,10:22:11,766273155.0,924233296.0,27.0,101.0,128.0
A046,CANAL ST,10:26:49,2167146262.0,659264179.0,2242.0,2779.0,5021.0
A043,CANAL ST,10:26:59,766273182.0,924233397.0,655.0,1031.0,1686.0
A046,CANAL ST,10:28:13,2167186222.0,659295194.0,2394.0,2909.0,5303.0
A043,CANAL ST,10:45:25,767929523.0,926123507.0,657.0,1073.0,1730.0
A043,CANAL ST,10:55:50,766440892.0,924374788.0,956.0,1529.0,2485.0
A043,CANAL ST,10:56:47,767979202.0,926168622.0,1617.0,1692.0,3309.0
N089,CANAL ST,10:57:38,939022612.0,574080206.0,363.0,545.0,908.0
N089,CANAL ST,11:00:00,939458539.0333333,574979856.7666667,1930.6666666666667,1925.0,3855.6666666666665
N090,CANAL ST,11:00:00,14881404.766666668,22425217.2,1174.1333333333334,1147.5333333333333,2321.6666666666665
N089,CANAL ST,11:06:01,940361549.0,575665216.0,358.0,531.0,889.0
A043,CANAL ST,11:27:59,767021248.0,924868230.0,896.0,1086.0,1982.0
A046,CANAL ST,11:37:38,2167300261.0,659387465.0,1466.0,1629.0,3095.0
A043,CANAL ST,11:57:19,767930180.0,926124580.0,751.0,864.0,1615.0
R119,CANAL ST,12:00:00,16778222.3,5788970.033333333,1091.4666666666667,299.1333333333333,1390.6
A046,CANAL ST,12:00:00,2173840225.233333,666436208.6666666,5090.433333333333,3861.766666666667,8952.2
A066,CANAL ST,12:00:00,1391211932.5,2535757200.9,1692.5333333333333,626.3666666666667,2318.9
A043,CANAL ST,12:00:00,768479754.6333333,926515474.5,3192.9,2691.233333333333,5884.133333333333
R120,CANAL ST,12:00:00,2602136.7333333334,11494867.766666668,253.26666666666668,756.8333333333334,1010.1
N089,CANAL ST,12:00:00,939931807.88,575371673.6571429,2705.2228571428573,2104.691428571429,4809.914285714286
N090,CANAL ST,12:00:00,15104601.028571429,22576761.737142857,1533.1371428571429,1227.6,2760.7371428571428
A066,CANAL ST,13:00:00,1505293356.7052023,2746987625.8901734,9932224.907514451,10143502.815028902,20075727.72254335
A046,CANAL ST,13:00:00,2173531502.6457143,665568698.4914286,-12138.034285714286,-39575.06285714286,-51713.09714285714
R120,CANAL ST,13:00:00,2656498.28,11693777.48,318.09714285714284,816.1485714285715,1134.2457142857143
A043,CANAL ST,13:00:00,769114729.6494253,927114062.862069,3674.137931034483,2567.706896551724,6241.8448275862065
R119,CANAL ST,13:00:00,17018905.78857143,5862954.508571428,1405.5714285714287,349.86285714285714,1755.4342857142858
A043,CANAL ST,14:30:31,767066674.0,924906613.0,2391.0,1359.0,3750.0
N089,CANAL ST,14:36:10,940460199.0,575754942.0,1109.0,697.0,1806.0
N090,CANAL ST,15:00:00,14882578.9,22426364.733333334,3951.8,1237.7333333333333,5189.533333333334
N089,CANAL ST,15:00:00,939460469.7,574981781.7666667,6345.966666666666,2120.266666666667,8466.233333333334
A046,CANAL ST,15:45:55,2166747911.0,658930999.0,2066.0,1242.0,3308.0
R119,CANAL ST,15:49:25,16794260.0,5798490.0,6.0,3.0,9.0
R119,CANAL ST,15:50:35,16794266.0,5798493.0,3.0,3.0,6.0
R119,CANAL ST,15:52:08,16794269.0,5798496.0,53.0,3.0,56.0
R120,CANAL ST,16:00:00,2602390.0,11495624.6,584.2333333333333,816.5333333333333,1400.7666666666667
N090,CANAL ST,16:00:00,15115666.6,22649509.725714285,3732.4914285714285,1183.3028571428572,4915.794285714286
R119,CANAL ST,16:00:00,16779315.833333332,5789269.466666667,2555.633333333333,285.3,2840.9333333333334
N089,CANAL ST,16:00:00,939960967.0571429,575388376.6514286,6603.44,2075.302857142857,8678.742857142857
A066,CANAL ST,16:00:00,1391213625.0333333,2535757827.266667,2834.6666666666665,475.8333333333333,3310.5
A046,CANAL ST,16:00:00,2173845315.6666665,666440070.4333333,7831.466666666666,3419.633333333333,11251.1
A043,CANAL ST,16:00:00,768482947.5333333,926518165.7333333,6970.166666666667,2540.9666666666667,9511.133333333333
R119,CANAL ST,16:14:18,16784165.0,5795550.0,7.0,3.0,10.0
R119,CANAL ST,16:15:38,16784172.0,5795553.0,2622.0,303.0,2925.0
A043,CANAL ST,17:00:00,769178958.1771429,927156687.5028571,6959.434285714286,2369.097142857143,9328.531428571428
R119,CANAL ST,17:00:00,16970663.148571428,5844613.605714286,2381.1714285714284,260.1657142857143,2641.3371428571427
A046,CANAL ST,17:00:00,2174270819.4457145,665647212.6857142,7459.062857142857,3184.2457142857143,10643.308571428572
A066,CANAL ST,17:00:00,1515225581.6127167,2757131128.705202,2430.184971098266,492.90751445086704,2923.092485549133
R120,CANAL ST,17:00:00,2654935.4770114943,11687351.77586207,505.97701149425285,753.0574712643678,1259.0344827586207
N089,CANAL ST,17:37:26,940403876.0,576346550.0,3945.0,1110.0,5055.0
A043,CANAL ST,17:43:37,767986097.0,926173717.0,5828.0,1709.0,7537.0
N089,CANAL ST,17:44:03,939028199.0,574083655.0,3689.0,1009.0,4698.0
N089,CANAL ST,19:00:00,939396138.2666667,574968809.5,2690.233333333333,789.0333333333333,3479.266666666667
N090,CANAL ST,19:00:00,14853059.033333333,22330712.766666666,1275.7666666666667,434.43333333333334,1710.2
A043,CANAL ST,20:00:00,768489917.7,926520706.7,1708.9,389.26666666666665,2098.1666666666665
N090,CANAL ST,20:00:00,15106150.742857143,22632360.41142857,657.9771428571429,218.89714285714285,876.8742857142857
N089,CANAL ST,20:00:00,939968342.2228571,575395735.4114286,1538.5257142857142,418.66285714285715,1957.1885714285713
A066,CANAL ST,20:00:00,1391216459.7,2535758303.1,654.3666666666667,210.03333333333333,864.4
A046,CANAL ST,20:00:00,2173622309.9333334,665963559.5333333,1776.7666666666667,663.2,2439.9666666666667
R120,CANAL ST,20:00:00,2602974.2333333334,11496441.133333333,97.9,166.73333333333332,264.6333333333333
R119,CANAL ST,20:00:00,16781959.1,5789564.966666667,415.8333333333333,37.46666666666667,453.3
R119,CANAL ST,21:00:00,16967701.257142857,5842832.531428572,290.8742857142857,30.091428571428573,320.9657142857143
A043,CANAL ST,21:00:00,769185950.9142857,927159066.3657143,1170.5485714285714,323.4114285714286,1493.96
A066,CANAL ST,21:00:00,1523843204.360465,2773062954.5348835,438.45348837209303,179.30232558139534,617.7558139534884
A046,CANAL ST,21:00:00,2174263811.114286,665639135.0342857,1379.4971428571428,529.9428571428572,1909.44
R120,CANAL ST,21:00:00,2640319.44,11621436.068571428,66.80571428571429,138.21142857142857,205.01714285714286
N090,CANAL ST,23:00:00,14887806.466666667,22428036.9,162.4,48.2,210.6
N089,CANAL ST,23:00:00,939469505.9,574984691.0666667,322.06666666666666,95.96666666666667,418.03333333333336
